iter	Passed	Remaining
0	1	146
1	2	129
2	3	121
3	4	113
4	5	112
5	7	110
6	8	112
7	9	111
8	10	109
9	11	107
10	13	106
11	14	104
12	15	103
13	16	101
14	17	100
15	18	98
16	19	97
17	21	96
18	22	95
19	23	94
20	24	93
21	25	92
22	27	91
23	28	89
24	29	88
25	30	87
26	31	85
27	32	84
28	34	83
29	35	82
30	36	81
31	37	79
32	39	79
33	40	78
34	41	76
35	42	75
36	43	74
37	44	73
38	45	71
39	47	70
40	48	69
41	48	67
42	50	66
43	51	65
44	52	63
45	53	62
46	54	61
47	55	60
48	56	59
49	58	58
50	59	56
51	60	55
52	61	54
53	63	53
54	63	52
55	64	50
56	66	49
57	67	48
58	68	47
59	69	46
60	70	45
61	71	43
62	72	42
63	74	41
64	75	40
65	76	39
66	77	38
67	78	37
68	79	35
69	81	34
70	82	33
71	83	32
72	84	31
73	85	30
74	86	28
75	87	27
76	89	26
77	90	25
78	91	24
79	93	23
80	94	22
81	95	20
82	96	19
83	97	18
84	98	17
85	99	16
86	100	15
87	102	13
88	103	12
89	104	11
90	105	10
91	106	9
92	108	8
93	109	6
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	116	0
